#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;15;15;125;4.0;-3.1293897603;-0.176442280826
0.05;15;15;180;0.0;-2.66288171613;-0.126515813147
0.05;15;15;180;0.5;-2.62987752702;-0.113365068163
0.05;15;15;180;1.0;-2.68252356126;-0.118320534364
0.05;15;15;180;1.5;-2.80720510949;-0.138922609158
0.05;15;15;180;2.0;-2.87725141874;-0.156257279347
0.05;15;15;180;3.0;-2.95479086171;-0.152783938232
0.05;15;15;180;4.0;-3.09256849623;-0.1684154244
0.05;15;20;0;0.0;-2.69914913601;-0.140932104347
0.05;15;20;0;0.5;-2.69918645128;-0.130740087106
0.05;15;20;0;1.0;-2.75427713502;-0.136433325119
0.05;15;20;0;1.5;-2.85657417363;-0.158985995599
0.05;15;20;0;2.0;-2.93335567192;-0.169952234355
0.05;15;20;0;3.0;-3.00241903046;-0.167806531067
0.05;15;20;0;4.0;-3.08580906573;-0.174051647474
0.05;15;20;45;0.0;-2.69059140314;-0.137347662091
0.05;15;20;45;0.5;-2.68544528069;-0.128669751542
0.05;15;20;45;1.0;-2.73102711633;-0.129838284026
0.05;15;20;45;1.5;-2.86715533779;-0.158657732827
0.05;15;20;45;2.0;-2.91243155189;-0.16887330304
0.05;15;20;45;3.0;-2.95477943956;-0.160874851738
0.05;15;20;45;4.0;-3.08080912356;-0.170073447086
0.05;15;20;90;0.0;-2.65758715965;-0.128432855801
0.05;15;20;90;0.5;-2.64629474155;-0.1188542066
0.05;15;20;90;1.0;-2.70861907392;-0.127199855546
0.05;15;20;90;1.5;-2.81131576965;-0.148617722355
0.05;15;20;90;2.0;-2.86992506966;-0.158945623099
0.05;15;20;90;3.0;-2.90865569292;-0.146771278265
0.05;15;20;90;4.0;-3.06541248746;-0.166845291433
0.05;15;20;125;0.0;-2.66326053276;-0.133012306586
0.05;15;20;125;0.5;-2.62887817426;-0.113860739451
0.05;15;20;125;1.0;-2.65878633793;-0.114958126192
0.05;15;20;125;1.5;-2.80677207811;-0.144965424866
0.05;15;20;125;2.0;-2.87473792752;-0.154493130222
0.05;15;20;125;3.0;-2.89046827148;-0.14349830312
0.05;15;20;125;4.0;-3.07171492915;-0.169305419105
0.05;15;20;180;0.0;-2.58250908054;-0.111505779506
0.05;15;20;180;0.5;-2.63160321095;-0.115166914551
0.05;15;20;180;1.0;-2.66932623819;-0.11812229356
0.05;15;20;180;1.5;-2.81503158544;-0.148789920047
0.05;15;20;180;2.0;-2.87287023432;-0.157540193533
0.05;15;20;180;3.0;-2.88831342457;-0.144739408264
0.05;15;20;180;4.0;-3.05149881621;-0.167016659445
0.05;30;0;0;0.0;-2.62038424587;-0.130689465876
0.05;30;0;0;0.5;-2.60449643797;-0.113235021972
